#{"t_start": 1606393646.0302458, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-125.855656,1000,6381.791412
-88.361051,1000,6397.175123
-118.347303,1000,6399.248894
-119.456678,251,6399.566184
-182.74115,662,6412.934915
-127.905185,1000,6415.754298
-187.719641,100,6415.835384
-207.334694,890,6429.909558
-204.775553,761,6432.636759
-203.700242,119,6432.744558
-92.113317,1000,6447.996562
-103.707671,1000,6451.67197
-95.295931,1000,6466.398847
-86.464495,1000,6469.165005
-85.266178,1000,6474.235358
-125.427908,1000,6488.712788
-150.104415,1000,6490.86005
-119.096668,363,6503.340691
-82.939284,1000,6505.744849
-126.770932,1000,6521.334824
-114.561664,1000,6526.596025
-195.360918,928,6539.70474
-119.559945,1000,6542.249508
-98.392836,1000,6556.591794
-172.159731,754,6557.755327
-92.886075,1000,6561.800563
-169.517178,124,6561.932982
-122.548993,1000,6578.924205
-112.050971,1000,6582.209201
-461.800982,103,6582.304066
-203.036153,743,6595.947265
-108.253712,1000,6598.180879
-106.211052,1000,6612.459855
-100.727846,1000,6616.503682
-220.335289,848,6631.89213
-66.300837,1000,6635.131767
-81.661115,1000,6649.541615
-100.540345,1000,6652.027782
-178.549331,715,6665.700049
-98.166776,1000,6668.995598
-110.964724,1000,6685.245174
-134.309788,1000,6689.962578
-106.510567,1000,6694.837061
-196.134736,885,6710.328904
-79.120447,1000,6715.644024
-129.988998,1000,6732.366174
-185.666645,666,6734.048884
-104.382065,1000,6749.544555
-105.151589,1000,6752.298726
-86.058321,1000,6767.774481
-101.564899,1000,6770.17023
-126.240006,413,6770.905478
-149.521739,1000,6785.584902
-155.308334,487,6786.386009
-84.834025,1000,6801.855211
-118.236747,1000,6805.177134
-155.748268,580,6806.377893
-97.108827,1000,6820.967013
-131.990792,1000,6824.690828
-109.849904,1000,6839.91433
-127.771232,328,6840.373429
-152.792537,473,6841.077181
-117.094176,150,6841.232669
-135.88984,361,6841.911375
-158.855885,657,6855.624124
-162.494249,604,6856.897902
-229.150914,799,6860.520011
-134.989672,529,6873.921188
-168.337745,573,6874.679856
-109.478749,1000,6889.784294
-101.513901,277,6890.163338
-188.703193,903,6893.134832
-130.885708,323,6893.694009
-182.386827,568,6906.845989
-142.209311,210,6907.08813
-138.070166,1000,6909.123125
-121.403688,165,6909.290491
-70.002876,1000,6924.69702
-106.210079,1000,6927.960211
-163.921262,633,6929.099146
-135.739612,1000,6945.031467
-153.81482,379,6945.527659
-182.848746,790,6959.033626
-149.08445,566,6959.882146
-89.686513,1000,6964.033495
-223.2042,888,6978.131905
-156.762263,1000,6981.125552
-108.986277,1000,6995.571438
-73.812752,1000,6999.882488
-128.257534,1000,7015.837745
-107.292474,257,7016.177509
-233.019996,941,7018.041038
-107.606671,1000,7033.600978
-217.586794,894,7036.372129
-104.718324,1000,7050.579453
-141.21696,292,7050.985824
-141.286676,479,7052.189539
-134.806584,255,7052.471534
-182.640478,724,7066.254829
-149.730068,1000,7069.00758
-122.914061,1000,7084.061658
-136.533232,1000,7087.735246
-171.336586,637,7088.641191
-126.324036,1000,7104.146726
-87.523643,1000,7107.07165
-116.11251,1000,7122.062473
-79.952932,1000,7124.263674
-117.4448,122,7124.375528
-237.136546,972,7138.620531
-105.77439,1000,7140.75324
-107.664504,158,7140.909176
-103.381226,1000,7157.917114
-105.274696,1000,7160.586772
-120.412077,1000,7174.916026
-116.622188,1000,7177.238987
-104.091033,1000,7194.053402
-96.606771,1000,7197.483844
-88.834667,1000,7211.983166
-127.652277,219,7212.249836
-100.975761,1000,7214.987255
-133.208982,118,7215.099907
-92.577388,1000,7229.815058
-104.12815,442,7230.627911
-99.283403,1000,7245.422066
-87.579085,1000,7248.226728
-192.863314,806,7261.480019
-194.709513,814,7262.921797
-140.983268,394,7263.572181
-113.006003,1000,7280.354118
-76.869912,1000,7284.071964
-71.640403,1000,7300.732022
-93.857621,1000,7303.587094
-224.939797,948,7319.138488
-130.63031,1000,7323.369408
-132.10295,1000,7327.192651
-139.557137,329,7339.369229
-122.028013,1000,7342.323187
-195.627127,775,7356.803852
-107.796371,1000,7361.054665
-132.582796,1000,7363.254463
-131.375725,1000,7378.924125
-120.713513,1000,7381.224867
-129.185548,342,7393.910287
-116.669931,1000,7396.263121
-123.851282,259,7396.563094
-238.01611,935,7410.59469
-255.17405,931,7413.040136
-109.041499,1000,7430.317108
-144.383762,167,7430.4902
-110.596634,1000,7434.009247
-109.495854,1000,7448.790791
-115.651695,293,7449.16948
-103.63094,1000,7452.940526
-123.475469,1000,7469.088145
-168.03124,691,7470.95317
-92.385343,1000,7487.426553
-157.394206,1000,7490.256836
-123.277128,1000,7505.112242
-96.318435,1000,7507.649558
-136.004337,1000,7523.688869
-124.618809,191,7523.900904
-74.687071,1000,7527.042711
-233.351851,916,7541.593035
-119.606994,227,7541.843732
-149.256419,1000,7544.372278
-128.226978,1000,7558.237031
-155.104981,1000,7563.366083
-115.128369,1000,7578.278091
-88.512458,1000,7581.683874
-142.806832,1000,7596.89794
-257.530603,864,7599.514114
-143.64737,189,7599.736325
-119.84072,1000,7615.418696
-219.13781,704,7616.654094
-128.623646,1000,7629.780608
